Component	Property	XmlTag	MinOccurs	MaxOccurs	CSharpType	Status
ExchangeConfiguration6	ExchangePolicy	XchgPlcy	1	*	SimpleValueList<ExchangePolicy1Code>	ProvisionallyRegistered
ExchangeConfiguration7	ExchangePolicy	XchgPlcy	1	*	SimpleValueList<ExchangePolicy1Code>	ProvisionallyRegistered
ExchangeConfiguration8	ExchangePolicy	XchgPlcy	1	*	SimpleValueList<ExchangePolicy2Code>	ProvisionallyRegistered
ExchangeConfiguration9	ExchangePolicy	XchgPlcy	1	*	SimpleValueList<ExchangePolicy2Code>	ProvisionallyRegistered
ExposureTypeAggregation3	ValuationAmounts	ValtnAmts	1	*	ValueList<CollateralAmount16>	ProvisionallyRegistered
FeeCollectionReference1	FeeCollectionIdentification	FeeColltnId	1	*	ValueList<FeeCollectionIdentification1>	ProvisionallyRegistered
FeeCollectionReference2	Identification	Id	1	*	ValueList<FeeCollectionIdentification1>	ProvisionallyRegistered
FinancialInstitutionSector1	Sector	Sctr	1	*	ValueList<FinancialPartyClassification2Choice_>	ProvisionallyRegistered
FinancialInstrument106	Identification	Id	1	10	ValueList<SecurityIdentification46Choice_>	ProvisionallyRegistered
FinancialInstrument8	Identification	Id	1	10	ValueList<SecurityIdentification3Choice_>	ProvisionallyRegistered
FinancialInstrumentDetails1	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails3>	ProvisionallyRegistered
FinancialInstrumentDetails10	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails20>	ProvisionallyRegistered
FinancialInstrumentDetails13	Transaction	Tx	1	*	ValueList<Transaction29>	ProvisionallyRegistered
FinancialInstrumentDetails14	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails28>	ProvisionallyRegistered
FinancialInstrumentDetails17	Transaction	Tx	1	*	ValueList<Transaction36>	ProvisionallyRegistered
FinancialInstrumentDetails2	Transaction	Tx	1	*	ValueList<Transaction6>	ProvisionallyRegistered
FinancialInstrumentDetails20	Transaction	Tx	1	*	ValueList<Transaction46>	ProvisionallyRegistered
FinancialInstrumentDetails21	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails32>	ProvisionallyRegistered
FinancialInstrumentDetails22	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails37>	ProvisionallyRegistered
FinancialInstrumentDetails23	Transaction	Tx	1	*	ValueList<Transaction50>	ProvisionallyRegistered
FinancialInstrumentDetails24	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails40>	ProvisionallyRegistered
FinancialInstrumentDetails25	Transaction	Tx	1	*	ValueList<Transaction52>	ProvisionallyRegistered
FinancialInstrumentDetails26	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails44>	ProvisionallyRegistered
FinancialInstrumentDetails27	Transaction	Tx	1	*	ValueList<Transaction55>	ProvisionallyRegistered
FinancialInstrumentDetails28	Transaction	Tx	1	*	ValueList<Transaction62>	ProvisionallyRegistered
FinancialInstrumentDetails29	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails45>	ProvisionallyRegistered
FinancialInstrumentDetails30	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails48>	ProvisionallyRegistered
FinancialInstrumentDetails31	Transaction	Tx	1	*	ValueList<Transaction65>	ProvisionallyRegistered
FinancialInstrumentDetails32	Transaction	Tx	1	*	ValueList<Transaction69>	ProvisionallyRegistered
FinancialInstrumentDetails33	Transaction	Tx	1	*	ValueList<Transaction72>	ProvisionallyRegistered
FinancialInstrumentDetails34	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails51>	ProvisionallyRegistered
FinancialInstrumentDetails35	Transaction	Tx	1	*	ValueList<Transaction110>	ProvisionallyRegistered
FinancialInstrumentDetails36	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails54>	ProvisionallyRegistered
FinancialInstrumentDetails37	Transaction	Tx	1	*	ValueList<Transaction113>	ProvisionallyRegistered
FinancialInstrumentDetails38	Transaction	Tx	1	*	ValueList<Transaction114>	ProvisionallyRegistered
FinancialInstrumentDetails39	Transaction	Tx	1	*	ValueList<Transaction119>	ProvisionallyRegistered
FinancialInstrumentDetails40	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails57>	ProvisionallyRegistered
FinancialInstrumentDetails41	Transaction	Tx	1	*	ValueList<Transaction123>	ProvisionallyRegistered
FinancialInstrumentDetails43	Transaction	Tx	1	*	ValueList<Transaction126>	ProvisionallyRegistered
FinancialInstrumentDetails44	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails63>	ProvisionallyRegistered
FinancialInstrumentDetails46	Transaction	Tx	1	*	ValueList<Transaction161>	ProvisionallyRegistered
FinancialInstrumentDetails47	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails66>	ProvisionallyRegistered
FinancialInstrumentDetails48	Transaction	Tx	1	*	ValueList<Transaction165>	ProvisionallyRegistered
FinancialInstrumentDetails49	Transaction	Tx	1	*	ValueList<Transaction167>	ProvisionallyRegistered
FinancialInstrumentDetails5	Transaction	Tx	1	*	ValueList<Transaction13>	ProvisionallyRegistered
FinancialInstrumentDetails6	SubBalance	SubBal	1	*	ValueList<IntraPositionDetails17>	ProvisionallyRegistered
FinancialInstrumentDetails9	Transaction	Tx	1	*	ValueList<Transaction18>	ProvisionallyRegistered
FinancialPartyClassification1	Classification	Clssfctn	1	*	SimpleValueList<FinancialPartySectorType2Code>	ProvisionallyRegistered
FinancialPartyClassification2	Classification	Clssfctn	1	*	SimpleValueList<string>	ProvisionallyRegistered
FinancingAgreementList1	Item	Itm	1	*	ValueList<FinancingAgreementItem1>	ProvisionallyRegistered
FinancingInformationAndStatus1	InvoiceFinancingDetails	InvcFincgDtls	1	*	ValueList<InvoiceFinancingDetails1>	ProvisionallyRegistered
FundCashForecast2	SortingCriteriaDetails	SrtgCritDtls	1	*	ValueList<CashSortingCriterion2>	ProvisionallyRegistered
FundConfirmedCashForecastReport1	FundCashForecastDetails	FndCshFcstDtls	1	*	ValueList<FundCashForecast1>	ProvisionallyRegistered
FundConfirmedCashForecastReport2	FundCashForecastDetails	FndCshFcstDtls	1	*	ValueList<FundCashForecast3>	ProvisionallyRegistered
FundDetailedConfirmedCashForecastReport1	FundCashForecastDetails	FndCshFcstDtls	1	*	ValueList<FundCashForecast2>	ProvisionallyRegistered
FundDetailedConfirmedCashForecastReport2	FundCashForecastDetails	FndCshFcstDtls	1	*	ValueList<FundCashForecast4>	ProvisionallyRegistered
FundDetailedConfirmedCashForecastReport3	FundCashForecastDetails	FndCshFcstDtls	1	*	ValueList<FundCashForecast6>	ProvisionallyRegistered
FundProcessingPassport1	SettlementDetails	SttlmDtls	1	*	ValueList<CashAccount22>	ProvisionallyRegistered
GeneralCollateral2	EligibleFinancialInstrumentIdentification	ElgblFinInstrmId	1	*	SimpleValueList<string>	ProvisionallyRegistered
Group1	Party	Pty	1	*	ValueList<PartyAndCertificate2>	ProvisionallyRegistered
Group2	Party	Pty	1	*	ValueList<PartyAndCertificate3>	ProvisionallyRegistered
Group3	Party	Pty	1	*	ValueList<PartyAndCertificate5>	ProvisionallyRegistered
