Component	Property	XmlTag	MinOccurs	MaxOccurs	CSharpType	Status
Cheque19	MemoField	MemoFld	0	2	IsoMax35Text	ProvisionallyRegistered
Cheque19	Signature	Sgntr	0	5	IsoMax70Text	ProvisionallyRegistered
CorporateActionOption235	TaxCategory	TaxCtgy	0	99	TaxCategory1	ProvisionallyRegistered
CorporateActionOptionSD15	OptionConditions	OptnConds	0	6	OptionConditions1	ProvisionallyRegistered
CorporateActionOptionSD15	TaxCategory	TaxCtgy	0	99	TaxCategory1	ProvisionallyRegistered
CorporateActionOptionSD16	OptionConditions	OptnConds	0	6	OptionConditions1	ProvisionallyRegistered
CorporateActionOptionSD16	TaxCategory	TaxCtgy	0	99	TaxCategory1	ProvisionallyRegistered
CreditTransferTransaction59	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
CreditTransferTransaction59	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation9	ProvisionallyRegistered
CreditTransferTransaction61	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
CreditTransferTransaction61	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
CreditTransferTransaction64	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
CreditTransferTransaction64	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
CreditTransferTransaction65	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
CreditTransferTransaction65	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
CreditTransferTransaction70	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
CreditTransferTransaction70	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
DetailedInstructionStatus19	RightsHolder	RghtsHldr	0	250	PartyIdentification246Choice_	ProvisionallyRegistered
DetailedInstructionStatus19	VotePerResolution	VotePerRsltn	0	1000	Vote19	ProvisionallyRegistered
DirectDebitTransactionInformation31	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
DirectDebitTransactionInformation31	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
DirectDebitTransactionInformation32	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
DirectDebitTransactionInformation32	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
EligiblePosition18	HoldingBalance	HldgBal	0	15	HoldingBalance14	ProvisionallyRegistered
EligiblePosition18	RightsHolder	RghtsHldr	0	250	PartyIdentification246Choice_	ProvisionallyRegistered
EligiblePosition19	HoldingBalance	HldgBal	0	15	HoldingBalance14	ProvisionallyRegistered
EligiblePosition19	RightsHolder	RghtsHldr	0	250	PartyIdentification270	ProvisionallyRegistered
EligiblePosition20	HoldingBalance	HldgBal	0	15	HoldingBalance14	ProvisionallyRegistered
EligiblePosition20	RightsHolder	RghtsHldr	0	250	PartyIdentification246Choice_	ProvisionallyRegistered
EligiblePosition21	HoldingBalance	HldgBal	0	15	HoldingBalance14	ProvisionallyRegistered
EligiblePosition21	RightsHolder	RghtsHldr	0	250	PartyIdentification246Choice_	ProvisionallyRegistered
EntryTransaction14	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
EntryTransaction15	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
Equalisation3	EqualisationMethodologyType	EqulstnMthdlgyTp	0	2	EqualisationMethodologyType2	ProvisionallyRegistered
FundReferenceDataReport5	CostsAndCharges	CostsAndChrgs	0	2	CostsAndCharges2	ProvisionallyRegistered
GroupHeader110	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader114	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader118	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader122	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader123	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader124	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader125	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
GroupHeader127	Authorisation	Authstn	0	2	Authorisation1Choice_	ProvisionallyRegistered
Meeting7	Location	Lctn	1	5	LocationFormat1Choice_	ProvisionallyRegistered
MeetingNotice9	AdditionalProcedureDetails	AddtlPrcdrDtls	0	5	AdditionalRights4	ProvisionallyRegistered
MeetingNotice9	ContactPersonDetails	CtctPrsnDtls	0	12	MeetingContactPerson3	ProvisionallyRegistered
NonFinancialRequestContentComponent4	AdditionalRequest	AddtlReq	0	8	ExternallyDefinedData5	ProvisionallyRegistered
NonFinancialRequestContentComponent5	AdditionalRequest	AddtlReq	0	8	ExternallyDefinedData5	ProvisionallyRegistered
PaymentComplementaryInformation11	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
