Component	Property	XmlTag	MinOccurs	MaxOccurs	CSharpType	Status
PostalAddress27	AddressLine	AdrLine	0	7	IsoMax70Text	ProvisionallyRegistered
PostalAddress28	AddressLine	AdrLine	0	7	IsoMax70Text	ProvisionallyRegistered
RedemptionExecution17	InformativePriceDetails	InftvPricDtls	0	2	UnitPrice22	ProvisionallyRegistered
RedemptionExecution17	OrderType	OrdrTp	0	10	FundOrderType4Choice_	ProvisionallyRegistered
RedemptionExecution17	RelatedPartyDetails	RltdPtyDtls	0	10	Intermediary49	ProvisionallyRegistered
RedemptionExecution17	StaffClientBreakdown	StffClntBrkdwn	0	4	InvestmentFundsOrderBreakdown2	ProvisionallyRegistered
Remittance1	Related	Rltd	0	10	RemittanceLocation7	ProvisionallyRegistered
ReorganisationInstructionSD15	Reason	Rsn	0	6	InstructionReason4Code	ProvisionallyRegistered
ReorganisationInstructionSD15	TransactionSequence	TxSeq	0	99	InstructionsTransactionsSequence2	ProvisionallyRegistered
RequestedModification11	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation8	ProvisionallyRegistered
SafekeepingAccount18	InstructedBalance	InstdBal	1	15	HoldingBalance15	ProvisionallyRegistered
SafekeepingAccount18	RightsHolder	RghtsHldr	0	250	PartyIdentification246Choice_	ProvisionallyRegistered
SafekeepingAccount19	InstructedBalance	InstdBal	1	15	HoldingBalance15	ProvisionallyRegistered
SafekeepingAccount19	RightsHolder	RghtsHldr	0	250	PartyIdentification246Choice_	ProvisionallyRegistered
SecurityPosition20	Position	Pos	0	1000	EligiblePosition18	ProvisionallyRegistered
SecurityPosition21	Position	Pos	0	1000	EligiblePosition19	ProvisionallyRegistered
SecurityPosition22	Position	Pos	0	1000	EligiblePosition20	ProvisionallyRegistered
SecurityPosition23	Position	Pos	0	1000	EligiblePosition21	ProvisionallyRegistered
StatementGroup5	ReceiverIndividualContact	RcvrIndvCtct	0	2	Contact13	ProvisionallyRegistered
StatementGroup5	SenderIndividualContact	SndrIndvCtct	0	2	Contact13	ProvisionallyRegistered
StructuredRemittanceInformation18	AdditionalRemittanceInformation	AddtlRmtInf	0	3	IsoMax140Text	ProvisionallyRegistered
SubscriptionExecution14	InformativePriceDetails	InftvPricDtls	0	2	UnitPrice22	ProvisionallyRegistered
SubscriptionExecution14	OrderType	OrdrTp	0	10	FundOrderType4Choice_	ProvisionallyRegistered
SubscriptionExecution14	RelatedPartyDetails	RltdPtyDtls	0	10	Intermediary49	ProvisionallyRegistered
SubscriptionExecution14	StaffClientBreakdown	StffClntBrkdwn	0	4	InvestmentFundsOrderBreakdown2	ProvisionallyRegistered
TrackerPaymentTransaction14	RegulatoryReporting	RgltryRptg	0	10	RegulatoryReporting3	ProvisionallyRegistered
TrackerPaymentTransaction14	RelatedRemittanceInformation	RltdRmtInf	0	10	RemittanceLocation7	ProvisionallyRegistered
TradeData43	CounterpartySpecificData	CtrPtySpcfcData	1	2	CounterpartySpecificData36	ProvisionallyRegistered
TradeStateReport23	CounterpartySpecificData	CtrPtySpcfcData	1	2	CounterpartySpecificData36	ProvisionallyRegistered
Vote19	Proprietary	Prtry	0	4	ProprietaryVote2	ProvisionallyRegistered
Vote20	Proprietary	Prtry	0	4	ProprietaryVote2	ProvisionallyRegistered
